VEHICLE
NUMBER     CAPACITY
 4       100

CUSTOMER
CUST NO.  XCOORD.  YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
   0   50   50   0    0    300   0
1   12   45   15   10   120   10
2   18   66   10   20   150   8
3   25   30   20   0    180   10
4   35   20   25   40   200   10
5   42   85   10   60   210   10
6   47   62   5    15   130   5
7   53   75   8    50   190   8
8   59   40   12   30   200   9
9   62   30   18   0    180   10
10  65   85   25   70   250   10
11  68   60   30   0    160   15
12  70   50   5    20   180   5
13  75   25   10   10   200   10
14  80   70   15   30   220   10
15  82   40   10   50   250   10
16  84   55   20   0    150   12
17  30   80   25   10   200   10
18  15   60   10   20   150   10
19  22   50   12   0    140   8
20  90   45   10   10   180   10
21  95   65   15   20   220   10
22  40   55   8    40   180   5
23  55   20   12   0    150   10
24  45   10   10   50   200   10
25  60   10   15   10   180   10
